year,threshold_found,total_count_at_threshold,api_calls
2016,7049,749,16
2017,6199,749,16
2018,5976,749,16
2019,5459,748,16
2020,5255,749,16
2021,3874,749,14
2022,3808,748,14
2023,5158,749,16
2024,3850,749,14
2025,3817,749,14
